구분,자동차용경유
2018년01월01일,1336.40
2018년01월02일,1337.13
2018년01월03일,1337.44
2018년01월04일,1337.83
2018년01월05일,1338.72
2018년01월06일,1339.14
2018년01월07일,1339.20
2018년01월08일,1339.89
2018년01월09일,1340.26
2018년01월10일,1340.81
2018년01월11일,1341.37
2018년01월12일,1341.98
2018년01월13일,1342.49
2018년01월14일,1342.67
2018년01월15일,1343.60
2018년01월16일,1344.49
2018년01월17일,1345.19
2018년01월18일,1345.96
2018년01월19일,1346.66
2018년01월20일,1347.17
2018년01월21일,1347.27
2018년01월22일,1348.26
2018년01월23일,1348.97
2018년01월24일,1349.88
2018년01월25일,1350.65
2018년01월26일,1351.51
2018년01월27일,1352.14
2018년01월28일,1352.37
2018년01월29일,1353.35
2018년01월30일,1354.53
2018년01월31일,1355.49
2018년02월01일,1356.76
2018년02월02일,1357.48
2018년02월03일,1357.98
2018년02월04일,1358.08
2018년02월05일,1358.81
2018년02월06일,1359.61
2018년02월07일,1360.15
2018년02월08일,1360.64
2018년02월09일,1360.99
2018년02월10일,1361.07
2018년02월11일,1360.95
2018년02월12일,1361.39
2018년02월13일,1361.47
2018년02월14일,1361.58
2018년02월15일,1361.65
2018년02월16일,1361.73
2018년02월17일,1361.76
2018년02월18일,1361.69
2018년02월19일,1361.78
2018년02월20일,1361.47
2018년02월21일,1361.18
2018년02월22일,1360.79
2018년02월23일,1360.61
2018년02월24일,1360.53
2018년02월25일,1360.26
2018년02월26일,1360.47
2018년02월27일,1360.35
2018년02월28일,1360.18
2018년03월01일,1359.91
2018년03월02일,1359.86
2018년03월03일,1359.44
2018년03월04일,1359.13
2018년03월05일,1359.14
2018년03월06일,1359.18
2018년03월07일,1358.81
2018년03월08일,1358.40
2018년03월09일,1358.13
2018년03월10일,1357.58
2018년03월11일,1357.24
2018년03월12일,1357.27
2018년03월13일,1356.71
2018년03월14일,1356.09
2018년03월15일,1355.18
2018년03월16일,1354.71
2018년03월17일,1354.06
2018년03월18일,1353.50
2018년03월19일,1353.20
2018년03월20일,1352.41
2018년03월21일,1351.57
2018년03월22일,1351.19
2018년03월23일,1350.72
2018년03월24일,1350.26
2018년03월25일,1349.89
2018년03월26일,1350.13
2018년03월27일,1350.21
2018년03월28일,1350.00
2018년03월29일,1349.67
2018년03월30일,1349.34
2018년03월31일,1348.97
2018년04월01일,1348.50
2018년04월02일,1348.65
2018년04월03일,1348.69
2018년04월04일,1348.50
2018년04월05일,1348.30
2018년04월06일,1348.13
2018년04월07일,1347.92
