지역코드,지역명,날짜,평균기온,최저기온,최고기온,강수량,평균습도,일조시간,일사량,전년_평균기온,전년_강수량,전년_일조시간,전년_일사량,전년_평균습도
100,대관령,2018-01-01,-6.6,-11.8,-3.0,,39.3,8.8,10.64,-1.3,,8.6,9.8,74.3
100,대관령,2018-01-02,-5.2,-9.9,-1.6,,45.1,8.8,9.68,1.1,,8.2,8.46,75.4
100,대관령,2018-01-03,-9.7,-16.8,-3.2,,54.5,8.8,10.78,-0.6,,8.9,10.32,56.0
100,대관령,2018-01-04,-9.0,-18.5,-1.3,,71.5,6.8,8.22,-1.2,,8.9,9.79,68.4
100,대관령,2018-01-05,-6.9,-12.1,-0.6,,66.6,8.2,9.14,-3.2,2.9,2.4,1.59,92.9
100,대관령,2018-01-06,-7.4,-12.3,-0.6,,57.6,9.0,10.77,-1.1,,8.2,10.18,86.5
100,대관령,2018-01-07,-5.6,-16.0,3.6,,49.9,6.2,7.82,-1.4,,9.0,9.05,79.1
100,대관령,2018-01-08,-2.2,-5.0,1.0,0.0,71.9,4.4,5.87,1.1,0.2,0.8,4.19,93.0
100,대관령,2018-01-09,-9.2,-11.1,-4.9,,61.6,8.5,10.17,-1.1,0.7,8.2,10.28,73.5
100,대관령,2018-01-10,-12.2,-16.5,-9.8,,50.5,9.0,8.85,-6.6,,9.1,10.7,53.5
100,대관령,2018-01-11,-15.9,-18.1,-11.9,,58.9,9.0,11.26,-8.5,,9.2,11.26,40.3
100,대관령,2018-01-12,-15.6,-20.9,-10.5,,51.6,9.2,11.94,-5.9,,9.3,10.81,47.8
100,대관령,2018-01-13,-10.0,-15.3,-3.6,,67.9,9.0,10.08,-10.4,,8.5,8.59,59.4
100,대관령,2018-01-14,-5.3,-16.8,1.2,,65.4,8.9,11.55,-13.4,,9.4,11.56,46.8
100,대관령,2018-01-15,0.6,-2.7,3.9,0.1,65.0,7.3,8.76,-11.7,,9.4,11.73,48.1
100,대관령,2018-01-16,0.4,-2.8,3.7,,62.3,5.1,6.5,-10.3,,9.2,9.79,71.9
100,대관령,2018-01-17,0.5,-0.5,2.7,1.7,85.4,1.1,2.73,-7.7,,9.3,10.75,50.6
100,대관령,2018-01-18,-1.4,-4.8,1.4,,57.8,3.9,5.91,-4.7,,8.6,9.97,66.4
100,대관령,2018-01-19,-3.4,-8.0,1.8,,43.0,9.3,11.38,-4.9,,8.8,11.31,62.1
100,대관령,2018-01-20,-3.6,-8.3,-0.2,0.0,70.5,3.8,4.48,-7.7,10.1,2.0,3.15,82.3
100,대관령,2018-01-21,-5.8,-13.0,2.0,,60.9,8.6,10.8,-9.4,0.0,8.0,11.99,79.6
100,대관령,2018-01-22,-4.4,-8.8,0.8,2.5,74.3,3.6,6.12,-11.7,0.1,9.5,12.38,59.9
100,대관령,2018-01-23,-15.3,-19.6,-5.5,0.0,52.8,9.6,12.92,-14.0,,9.6,12.96,64.1
100,대관령,2018-01-24,-19.0,-21.9,-15.2,,38.6,9.7,13.14,-12.3,,9.7,13.05,57.3
