DATE,품목명,단위,등급명,평균가격,전년,평년
202609상순,양배추,8키로망대,상,4527,8078,8159
202608하순,양배추,8키로망대,상,3929,6648,6409
202608중순,양배추,8키로망대,상,4786,5939,6783
202608상순,양배추,8키로망대,상,4877,8280,8592
202607하순,양배추,8키로망대,상,4653,8032,6461
202607중순,양배추,8키로망대,상,5711,8152,5585
202607상순,양배추,8키로망대,상,5635,4613,4849
202606하순,양배추,8키로망대,상,3827,4930,5465
202606중순,양배추,8키로망대,상,3825,4154,5060
202606상순,양배추,8키로망대,상,3687,4333,5140
202605하순,양배추,8키로망대,상,3534,5252,6675
202605중순,양배추,8키로망대,상,4212,8512,9499
202605상순,양배추,8키로망대,상,3258,12858,10259
202604하순,양배추,8키로망대,상,3489,14081,10760
202604중순,양배추,8키로망대,상,2685,13521,9788
202604상순,양배추,8키로망대,상,3727,12114,8959
202603하순,양배추,8키로망대,상,4026,10959,8278
202603중순,양배추,8키로망대,상,4176,12212,6645
202603상순,양배추,8키로망대,상,6912,18098,7191
202602하순,양배추,8키로망대,상,7991,16113,5905
202602중순,양배추,8키로망대,상,8600,12883,6190
202602상순,양배추,8키로망대,상,7616,15914,5932
202601하순,양배추,8키로망대,상,6403,13643,6826
202601중순,양배추,8키로망대,상,6211,11053,6286
202601상순,양배추,8키로망대,상,6936,14461,6386
202512하순,양배추,8키로망대,상,6022,11578,6974
202512중순,양배추,8키로망대,상,6105,10941,5934
202512상순,양배추,8키로망대,상,7193,9362,4973
202511하순,양배추,8키로망대,상,7242,10639,4935
202511중순,양배추,8키로망대,상,6323,9840,6949
202511상순,양배추,8키로망대,상,4560,11653,9572
202510하순,양배추,8키로망대,상,4671,11830,9976
202510중순,양배추,8키로망대,상,4142,10482,10703
202510상순,양배추,8키로망대,상,5119,8839,10730
202509하순,양배추,8키로망대,상,5638,7331,9431
202509중순,양배추,8키로망대,상,6810,10794,9499
202509상순,양배추,8키로망대,상,8078,6459,8932
202508하순,양배추,8키로망대,상,6648,6998,7196
202508중순,양배추,8키로망대,상,5939,7457,7378
202508상순,양배추,8키로망대,상,8280,8602,7984
202507하순,양배추,8키로망대,상,8032,5197,5789
202507중순,양배추,8키로망대,상,8152,4199,4134
202507상순,양배추,8키로망대,상,4613,4273,4736
202506하순,양배추,8키로망대,상,4930,5084,5406
202506중순,양배추,8키로망대,상,4154,5361,5060
202506상순,양배추,8키로망대,상,4333,8587,4877
202505하순,양배추,8키로망대,상,5252,16878,6675
202505중순,양배추,8키로망대,상,8512,16085,8768
202505상순,양배추,8키로망대,상,12858,17059,10010
202504하순,양배추,8키로망대,상,14081,18470,10860
202504중순,양배추,8키로망대,상,13521,19345,10358
202504상순,양배추,8키로망대,상,12114,14034,9022
202503하순,양배추,8키로망대,상,10959,11800,8266
202503중순,양배추,8키로망대,상,12212,7845,6645
202503상순,양배추,8키로망대,상,18098,7837,7191
202502하순,양배추,8키로망대,상,16113,5550,5905
202502중순,양배추,8키로망대,상,12883,6023,6190
202502상순,양배추,8키로망대,상,15914,6122,5932
202501하순,양배추,8키로망대,상,13643,5335,6826
