DATE,품목명,총반입량,1위산지,1위물량,2위산지,2위물량,기타물량
202609상순,당근,1629,기타,681,강원도 평창군,333,615
202608하순,당근,1365,기타,596,강원도 평창군,227,542
202608중순,당근,1852,기타,735,경상남도 밀양시,287,830
202608상순,당근,1346,기타,681,경상남도 밀양시,194,471
202607하순,당근,1834,기타,836,경상남도 밀양시,371,627
202607중순,당근,1257,기타,567,경상남도 창원시 의창(성산)구,303,387
202607상순,당근,1390,기타,597,경상남도 창원시 의창(성산)구,289,504
202606하순,당근,1264,기타,521,경상남도 창원시 의창(성산)구,249,494
202606중순,당근,1184,기타,534,경상남도 창원시 의창(성산)구,235,415
202606상순,당근,1544,기타,601,경상남도 밀양시,401,542
202605하순,당근,1369,기타,577,경상남도 밀양시,374,418
202605중순,당근,1643,기타,585,경상남도 밀양시,500,558
202605상순,당근,1359,기타,545,경상남도 밀양시,268,546
202604하순,당근,1687,기타,653,경상남도 밀양시,475,559
202604중순,당근,1580,기타,579,경상남도 밀양시,319,682
202604상순,당근,1350,제주도 제주시,622,기타,580,148
202603하순,당근,1352,제주도 제주시,722,기타,539,91
202603중순,당근,1649,제주도 제주시,1010,기타,629,10
202603상순,당근,1370,제주도 제주시,824,기타,536,10
202602하순,당근,902,제주도 제주시,443,기타,437,22
202602중순,당근,1307,제주도 제주시,859,기타,426,22
202602상순,당근,1358,제주도 제주시,841,기타,506,11
202601하순,당근,1449,제주도 제주시,900,기타,533,16
202601중순,당근,1235,제주도 제주시,738,기타,476,21
202601상순,당근,1385,제주도 제주시,774,기타,482,129
202512하순,당근,1200,기타,601,제주도 제주시,521,78
202512중순,당근,1485,제주도 제주시,725,기타,556,204
202512상순,당근,1307,기타,601,제주도 제주시,258,448
202511하순,당근,1112,기타,494,강원도 평창군,128,490
202511중순,당근,1248,기타,598,강원도 평창군,328,322
202511상순,당근,1183,기타,553,강원도 평창군,301,329
202510하순,당근,1857,기타,816,강원도 평창군,532,509
202510중순,당근,1317,기타,612,강원도 평창군,353,352
202510상순,당근,1255,기타,562,강원도 평창군,321,372
202509하순,당근,1791,기타,686,강원도 평창군,459,646
202509중순,당근,1449,기타,697,강원도 강릉시,250,502
202509상순,당근,1665,기타,706,강원도 평창군,322,637
202508하순,당근,1331,기타,638,경상남도 창원시 의창(성산)구,138,555
202508중순,당근,1403,기타,628,경상남도 김해시,180,595
202508상순,당근,1043,기타,534,경상남도 밀양시,164,345
202507하순,당근,1453,기타,669,경상남도 밀양시,252,532
202507중순,당근,1046,기타,527,경상남도 밀양시,211,308
202507상순,당근,1351,기타,610,경상남도 밀양시,232,509
202506하순,당근,1134,기타,498,경상남도 밀양시,229,407
202506중순,당근,1584,기타,638,경상남도 밀양시,367,579
202506상순,당근,1494,기타,630,경상남도 밀양시,332,532
202505하순,당근,1785,기타,727,경상남도 밀양시,546,512
202505중순,당근,1549,경상남도 밀양시,549,기타,504,496
202505상순,당근,1610,기타,616,경상남도 밀양시,441,553
202504하순,당근,1610,기타,611,부산광역시 기장군,307,692
202504중순,당근,1355,기타,525,제주도 제주시,309,521
202504상순,당근,1638,제주도 제주시,747,기타,668,223
202503하순,당근,1499,제주도 제주시,785,기타,607,107
202503중순,당근,1362,기타,627,제주도 제주시,613,122
202503상순,당근,1171,제주도 제주시,533,기타,509,129
202502하순,당근,992,기타,507,제주도 제주시,425,60
202502중순,당근,1556,제주도 제주시,785,기타,723,48
202502상순,당근,1030,기타,638,제주도 제주시,348,44
202501하순,당근,1083,기타,614,제주도 제주시,450,19
202501중순,당근,1365,제주도 제주시,702,기타,655,8
202501상순,당근,1140,기타,616,제주도 제주시,517,7
202412하순,당근,1209,기타,694,제주도 제주시,501,14
202412중순,당근,1136,기타,726,제주도 제주시,368,42
202412상순,당근,1188,기타,607,제주도 제주시,386,195
202411하순,당근,1179,기타,691,충청북도 영동군,158,330
202411중순,당근,1290,기타,732,충청북도 영동군,229,329
202411상순,당근,1195,기타,695,강원도 홍천군,159,341
202410하순,당근,1614,기타,875,강원도 홍천군,226,513
202410중순,당근,1046,기타,634,강원도 평창군,245,167
202410상순,당근,1324,기타,734,강원도 평창군,270,320
202409하순,당근,1359,기타,773,강원도 평창군,244,342
202409중순,당근,969,기타,596,강원도 강릉시,137,236
