DATE,품목명,총반입량,1위산지,1위물량,2위산지,2위물량,기타물량
202609상순,양배추,2932,강원도 정선군,1167,강원도 태백시,654,1111
202608하순,양배추,3203,강원도 정선군,1287,강원도 평창군,715,1201
202608중순,양배추,3010,강원도 정선군,1024,강원도 평창군,998,988
202608상순,양배추,2299,강원도 평창군,982,강원도 정선군,766,551
202607하순,양배추,2991,강원도 평창군,1752,경상북도 청송군,534,705
202607중순,양배추,2186,강원도 평창군,887,경상북도 청송군,539,760
202607상순,양배추,2225,강원도 평창군,589,경상북도 청송군,392,1244
202606하순,양배추,2494,충청남도 서산시,660,전라남도 해남군,562,1272
202606중순,양배추,2591,전라남도 해남군,1969,전라남도 진도군,270,352
202606상순,양배추,2823,전라남도 해남군,1949,부산광역시 부산 강서구,324,550
202605하순,양배추,2584,전라남도 해남군,798,전라남도 무안군,694,1092
202605중순,양배추,2295,대구광역시 달성군,1235,경상남도 밀양시,404,656
202605상순,양배추,1409,대구광역시 달성군,629,경상남도 밀양시,453,327
202604하순,양배추,2816,제주도 제주시,1614,전라남도 무안군,1046,156
202604중순,양배추,2511,제주도 제주시,1294,전라남도 무안군,1003,214
202604상순,양배추,2933,제주도 제주시,1853,전라남도 무안군,988,92
202603하순,양배추,3052,제주도 제주시,2366,제주도 서귀포시,430,256
202603중순,양배추,3237,제주도 제주시,2576,제주도 서귀포시,622,39
202603상순,양배추,2612,제주도 제주시,1888,제주도 서귀포시,515,209
202602하순,양배추,2815,제주도 제주시,2255,전라남도 무안군,282,278
202602중순,양배추,1726,제주도 제주시,989,전라남도 무안군,544,193
202602상순,양배추,2693,제주도 제주시,1293,전라남도 무안군,1227,173
202601하순,양배추,3387,전라남도 무안군,1569,제주도 제주시,1419,399
202601중순,양배추,2799,전라남도 무안군,1815,제주도 제주시,771,213
202601상순,양배추,2398,전라남도 무안군,1702,제주도 제주시,275,421
202512하순,양배추,3220,전라남도 무안군,2278,제주도 제주시,453,489
202512중순,양배추,2732,전라남도 무안군,1856,충청남도 서산시,438,438
202512상순,양배추,2683,전라남도 무안군,1372,충청남도 서산시,939,372
202511하순,양배추,2387,충청남도 서산시,1047,전라남도 무안군,680,660
202511중순,양배추,2925,충청남도 서산시,897,강원도 정선군,693,1335
202511상순,양배추,2472,강원도 정선군,692,강원도 태백시,610,1170
202510하순,양배추,3466,강원도 태백시,859,강원도 정선군,825,1782
202510중순,양배추,2636,강원도 정선군,852,강원도 태백시,451,1333
202510상순,양배추,2246,강원도 정선군,849,강원도 태백시,375,1022
202509하순,양배추,2816,강원도 정선군,911,강원도 태백시,651,1254
202509중순,양배추,3353,강원도 정선군,1292,강원도 태백시,637,1424
202509상순,양배추,2706,강원도 정선군,1413,강원도 강릉시,384,909
202508하순,양배추,2718,강원도 정선군,1322,강원도 평창군,609,787
202508중순,양배추,2754,강원도 정선군,1004,강원도 평창군,754,996
202508상순,양배추,2239,강원도 평창군,755,강원도 정선군,598,886
202507하순,양배추,2526,강원도 평창군,1065,경상북도 청송군,397,1064
202507중순,양배추,1854,강원도 평창군,634,경상북도 청송군,385,835
202507상순,양배추,2406,충청남도 서산시,596,충청남도 태안군,466,1344
202506하순,양배추,2354,전라남도 해남군,675,충청남도 서산시,575,1104
202506중순,양배추,2963,전라남도 해남군,1607,전라남도 진도군,657,699
202506상순,양배추,2559,전라남도 해남군,1553,전라남도 진도군,435,571
202505하순,양배추,3354,전라남도 무안군,1051,전라남도 해남군,1048,1255
202505중순,양배추,2397,대구광역시 달성군,1049,경상남도 밀양시,475,873
202505상순,양배추,1428,대구광역시 달성군,544,경상남도 밀양시,533,351
202504하순,양배추,1544,제주도 제주시,918,전라남도 무안군,402,224
202504중순,양배추,2121,제주도 제주시,1440,전라남도 무안군,524,157
202504상순,양배추,2402,제주도 제주시,1828,전라남도 무안군,574,0
202503하순,양배추,2566,제주도 제주시,1888,전라남도 무안군,666,12
202503중순,양배추,2622,제주도 제주시,2019,전라남도 무안군,563,40
202503상순,양배추,2317,제주도 제주시,2055,전라남도 무안군,228,34
202502하순,양배추,2156,제주도 제주시,2126,전라남도 해남군,24,6
202502중순,양배추,2946,제주도 제주시,2637,전라남도 무안군,208,101
202502상순,양배추,2381,제주도 제주시,1953,전라남도 무안군,409,19
202501하순,양배추,1967,제주도 제주시,1374,전라남도 무안군,399,194
202501중순,양배추,2544,제주도 제주시,1663,전라남도 무안군,665,216
202501상순,양배추,2158,제주도 제주시,942,전라남도 무안군,938,278
202412하순,양배추,2746,전라남도 무안군,1796,제주도 제주시,451,499
202412중순,양배추,2359,전라남도 무안군,1764,전라남도 해남군,194,401
202412상순,양배추,2126,전라남도 무안군,1258,충청남도 서산시,354,514
202411하순,양배추,2506,전라남도 무안군,1214,충청남도 서산시,751,541
202411중순,양배추,2711,충청남도 서산시,969,전라남도 무안군,873,869
202411상순,양배추,2520,충청남도 서산시,892,강원도 정선군,575,1053
202410하순,양배추,3128,충청남도 서산시,892,강원도 정선군,729,1507
202410중순,양배추,2784,강원도 정선군,1140,충청남도 서산시,444,1200
