DATE,품목명,총반입량,전년,평년
202602중순,양파,2584,5703,5072.333333333333
202602상순,양파,4729,5014,5419.0
202601하순,양파,4619,4496,5233.666666666667
202601중순,양파,4259,5196,6138.666666666668
202601상순,양파,3859,4960,5152.333333333333
202512하순,양파,4511,5468,6636.666666666668
202512중순,양파,4556,5428,5160.333333333333
202512상순,양파,4596,5394,5669.333333333333
202511하순,양파,4390,5784,5941.666666666668
202511중순,양파,4862,6361,6070.333333333332
202511상순,양파,4002,5096,5879.333333333332
202510하순,양파,5869,6735,6335.333333333332
202510중순,양파,4216,4893,6159.333333333332
202510상순,양파,3108,6322,5458.0
202509하순,양파,4876,6247,5957.666666666668
202509중순,양파,5146,3611,5997.666666666668
202509상순,양파,4492,5874,6366.666666666668
202508하순,양파,4401,7021,6827.333333333332
202508중순,양파,4866,5665,6030.0
202508상순,양파,3537,5126,5300.0
202507하순,양파,5789,5563,6331.333333333332
202507중순,양파,3940,4725,5112.333333333333
202507상순,양파,4794,5489,5469.333333333333
202506하순,양파,5350,4757,6634.333333333332
202506중순,양파,6018,5913,5881.0
202506상순,양파,7416,6888,8236.333333333334
202505하순,양파,9138,8920,8643.333333333334
202505중순,양파,7871,7977,8686.666666666666
202505상순,양파,7292,7950,8058.0
202504하순,양파,6893,7151,8218.0
202504중순,양파,4933,7192,7714.666666666668
202504상순,양파,6107,7356,7437.0
202503하순,양파,4054,6515,6919.0
202503중순,양파,3943,5855,5768.333333333332
202503상순,양파,3448,5400,5743.333333333333
202502하순,양파,3000,5588,4890.333333333333
202502중순,양파,4397,4591,5007.0
202502상순,양파,3816,5220,5453.333333333333
202501하순,양파,3539,5830,5268.333333333333
202501중순,양파,4120,5864,6378.666666666668
202501상순,양파,3944,5262,5199.666666666667
202412하순,양파,4536,6407,6636.666666666668
202412중순,양파,4409,5459,5170.666666666667
202412상순,양파,4571,4872,5599.666666666667
202411하순,양파,4893,6262,5950.333333333332
202411중순,양파,5487,5759,6001.333333333332
202411상순,양파,4339,6183,5879.333333333332
202410하순,양파,5782,6127,6368.0
202410중순,양파,4239,6206,6159.333333333332
202410상순,양파,5363,5764,5458.0
202409하순,양파,5363,4816,5884.0
202409중순,양파,3186,7235,5997.666666666668
202409상순,양파,5117,6294,6476.666666666668
202408하순,양파,6169,7174,6946.0
202408중순,양파,5110,5729,6031.666666666668
202408상순,양파,4553,5715,5311.0
202407하순,양파,5059,6858,6328.333333333332
202407중순,양파,4192,5392,5396.0
202407상순,양파,5021,4944,5667.0
202406하순,양파,4377,6564,6801.0
202406중순,양파,5495,6194,6304.0
202406상순,양파,6641,9033,8644.0
202405하순,양파,8289,8486,8938.666666666666
202405중순,양파,7309,9618,8806.666666666666
202405상순,양파,7167,7896,8465.0
202404하순,양파,6233,8386,8218.0
202404중순,양파,5768,9330,7893.0
202404상순,양파,6004,6151,7411.666666666668
202403하순,양파,5294,7714,6863.333333333332
202403중순,양파,4678,5465,5968.666666666668
202403상순,양파,4235,6316,5822.0
202402하순,양파,4505,4380,4890.333333333333
202402중순,양파,3527,4923,5398.333333333333
202402상순,양파,4438,5869,5436.0
202401하순,양파,4850,3459,5624.333333333333
202401중순,양파,4733,6933,6363.333333333332
202401상순,양파,4155,5235,5304.333333333333
202312하순,양파,5195,6907,6559.666666666668
202312중순,양파,4428,5004,5335.0
202312상순,양파,3976,6025,5866.333333333332
202311하순,양파,4979,0,0.0
202311중순,양파,4513,0,0.0
202311상순,양파,4757,0,0.0
202310하순,양파,4732,6144,6628.0
202310중순,양파,4626,6845,6372.333333333332
202310상순,양파,4332,5480,5579.666666666667
202309하순,양파,3817,6810,5804.0
202309중순,양파,5739,5431,5997.666666666668
202309상순,양파,5115,6775,6476.666666666668
202308하순,양파,5738,8226,6905.333333333332
202308중순,양파,4499,7503,6339.333333333332
202308상순,양파,4442,5909,5188.333333333333
202307하순,양파,5900,6606,5985.666666666668
202307중순,양파,4444,6887,5779.333333333332
202307상순,양파,4124,5411,5667.0
202306하순,양파,5262,6514,6863.666666666668
202306중순,양파,4708,5536,6985.0
202306상순,양파,7763,7938,8236.333333333334
202305하순,양파,8356,8086,9831.333333333334
202305중순,양파,9271,8826,8660.666666666666
202305상순,양파,7303,9171,8483.666666666666
202304하순,양파,7892,7891,7936.0
202304중순,양파,8661,8167,7893.0
202304상순,양파,5389,7326,7411.666666666668
202303하순,양파,6583,7548,6863.333333333332
202303중순,양파,4363,5945,5988.666666666668
202303상순,양파,4931,7357,5767.666666666668
202302하순,양파,3434,5267,4920.333333333333
202302중순,양파,3911,5765,5165.0
202302상순,양파,4464,5168,5733.333333333333
202301하순,양파,2496,6898,5740.0
202301중순,양파,5480,7186,5925.333333333332
202301상순,양파,4003,5576,5242.0
202212하순,양파,5250,6793,6465.0
202212중순,양파,3863,5049,0.0
202212상순,양파,4543,6240,0.0
202211하순,양파,5201,5458,5799.0
202211중순,양파,4430,6598,6258.333333333332
202211상순,양파,5293,5870,5949.0
202210하순,양파,4676,6005,6581.666666666668
202210중순,양파,5497,6189,6476.666666666668
202210상순,양파,4444,5130,5129.333333333333
202209하순,양파,5682,4576,5861.0
202209중순,양파,4538,5938,6527.0
202209상순,양파,5978,6364,6357.666666666668
202208하순,양파,7420,6072,6864.333333333332
202208중순,양파,6911,5896,6033.0
202208상순,양파,5493,4875,5188.333333333333
202207하순,양파,6361,5554,5733.0
202207중순,양파,6739,4411,5522.333333333333
202207상순,양파,5411,5508,5435.333333333333
202206하순,양파,6489,6825,6863.666666666668
202206중순,양파,5536,5516,7484.666666666668
202206상순,양파,7938,7810,8071.333333333332
202205하순,양파,8086,8524,9917.0
202205중순,양파,8826,8398,8664.0
202205상순,양파,9171,8328,7891.666666666668
202204하순,양파,7891,8377,7886.333333333332
202204중순,양파,8167,7785,8015.0
202204상순,양파,7326,7629,7162.0
202203하순,양파,7548,6694,6449.333333333332
202203중순,양파,5945,5505,5842.0
202203상순,양파,7357,5514,5660.0
202202하순,양파,5267,3659,4558.333333333333
202202중순,양파,5765,3279,4839.666666666667
202202상순,양파,5168,6761,6047.0
202201하순,양파,6897,5375,4974.0
202201중순,양파,7186,5619,5925.333333333332
202201상순,양파,5576,3217,5192.0
