DATE,평균 기온(°C),최고 기온(°C),최저 기온(°C),전년 기온(°C),평균 강수량(mm),전년 강수량(mm),평균 일조시간(hr),전년 일조시간(hr),평균 일사량(MJ/㎡),전년 일사량(MJ/㎡),평균 습도(%),전년 습도(%)
201801상순,0.7,6.16,-4.56,,0.52,,5.43,,8.293,,49.83,
201801중순,0.13,7.39,-5.64,,2.33,,5.72,,9.355,,68.36,
201801하순,-2.773,3.618,-8.127,,0.0,,7.336,,12.135,,39.627,
201802상순,-2.64,4.73,-9.53,,0.0,,8.09,,13.664,,38.31,
201802중순,2.51,9.94,-4.82,,0.0,,7.34,,13.185,,35.54,
201802하순,4.262,12.312,-3.6,,3.125,,5.175,,12.56,,55.325,
201803상순,6.35,12.34,1.02,,6.03,,5.01,,14.072,,64.69,
201803중순,8.93,16.03,2.11,,4.94,,6.27,,13.526,,70.55,
201803하순,11.027,19.582,3.2,,1.173,,8.845,,19.954,,57.9,
201804상순,12.56,19.05,6.06,,3.09,,7.09,,16.72,,66.06,
201804중순,15.03,22.65,7.67,,2.53,,8.54,,20.849,,49.71,
201804하순,15.91,23.1,9.15,,4.77,,7.54,,18.792,,63.73,
201805상순,16.05,21.15,10.78,,4.23,,5.22,,17.563,,65.66,
201805중순,19.82,25.88,14.1,,1.86,,5.89,,16.481,,71.75,
201805하순,20.936,28.018,14.555,,2.964,,7.945,,23.296,,63.736,
201806상순,23.35,30.28,17.27,,0.23,,8.5,,23.155,,60.93,
201806중순,21.24,26.84,16.84,,2.71,,6.38,,20.455,,67.66,
201806하순,24.57,30.22,19.93,,11.32,,5.17,,17.951,,75.25,
201807상순,23.4,27.21,20.53,,13.98,,2.47,,10.445,,82.89,
201807중순,29.55,35.69,24.08,,0.0,,11.1,,26.672,,71.93,
201807하순,30.327,36.655,25.436,,0.555,,9.736,,23.027,,68.509,
201808상순,29.66,36.04,24.74,,4.53,,8.78,,21.692,,72.63,
201808중순,26.91,33.43,21.82,,1.51,,7.64,,19.604,,72.92,
201808하순,26.455,30.627,22.855,,28.355,,3.564,,11.035,,82.718,
201809상순,22.29,27.23,18.07,,4.82,,4.06,,15.305,,78.48,
201809중순,22.05,26.36,18.67,,2.31,,3.6,,11.376,,84.3,
201809하순,18.88,24.35,13.97,,2.64,,4.99,,14.942,,72.53,
201810상순,17.17,23.01,11.69,,15.18,,6.26,,13.1,,75.78,
201810중순,12.94,20.26,6.83,,0.0,,7.88,,15.944,,71.18,
201810하순,11.309,18.818,4.691,,0.318,,7.418,,12.194,,74.045,
201811상순,10.58,19.24,3.81,,2.08,,6.57,,10.977,,77.37,
201811중순,8.6,15.68,3.11,,0.36,,4.8,,9.431,,74.42,
201811하순,4.25,12.15,-1.98,,0.01,,5.13,,9.257,,68.97,
201812상순,4.74,10.24,0.18,,1.77,,3.86,,8.253,,58.64,
201812중순,0.84,7.76,-4.79,,0.4,,4.75,,7.81,,69.0,
201812하순,0.982,7.445,-4.882,,0.318,,6.6,,10.12,,45.336,
201901상순,0.06,7.55,-6.16,0.7,0.0,0.52,6.25,5.43,9.829,8.293,42.23,49.83
201901중순,2.07,9.53,-3.9,0.13,0.28,2.33,6.44,5.72,10.499,9.355,59.2,68.36
201901하순,0.827,9.473,-6.127,-2.773,0.909,0.0,6.745,7.336,11.994,12.135,46.109,39.627
201902상순,2.93,9.5,-2.79,-2.64,0.87,0.0,6.67,8.09,12.254,13.664,48.72,38.31
201902중순,2.5,8.32,-3.14,2.51,2.54,0.0,6.51,7.34,12.53,13.185,50.95,35.54
201902하순,6.712,14.675,-0.138,4.262,0.0,3.125,7.6,5.175,14.468,12.56,62.275,55.325
201903상순,8.69,15.24,1.89,6.35,2.2,6.03,6.66,5.01,13.973,14.072,61.84,64.69
201903중순,7.7,15.48,0.25,8.93,1.51,4.94,7.81,6.27,15.668,13.526,55.72,70.55
201903하순,10.0,17.373,3.155,11.027,0.309,1.173,8.864,8.845,19.406,19.954,48.591,57.9
201904상순,10.57,18.37,2.78,12.56,1.81,3.09,8.22,7.09,18.71,16.72,45.68,66.06
201904중순,13.12,20.65,5.76,15.03,0.14,2.53,7.51,8.54,19.465,20.849,55.19,49.71
201904하순,14.92,20.05,10.15,15.91,5.69,4.77,3.86,7.54,13.25,18.792,75.27,63.73
201905상순,17.22,26.3,8.69,16.05,0.02,4.23,10.47,5.22,26.354,17.563,49.78,65.66
201905중순,19.97,27.03,13.34,19.82,2.38,1.86,7.49,5.89,19.643,16.481,62.03,71.75
201905하순,20.855,29.236,12.355,20.936,2.236,2.964,10.018,7.945,25.206,23.296,52.209,63.736
201906상순,21.74,29.01,15.37,23.35,2.18,0.23,8.97,8.5,22.497,23.155,63.44,60.93
201906중순,22.03,28.41,16.92,21.24,1.12,2.71,7.87,6.38,21.438,20.455,66.43,67.66
201906하순,22.96,28.05,18.94,24.57,18.46,11.32,6.36,5.17,19.693,17.951,76.2,75.25
201907상순,24.03,28.87,19.86,23.4,1.16,13.98,6.08,2.47,19.22,10.445,65.97,82.89
201907중순,24.36,28.13,21.29,29.55,14.82,0.0,3.83,11.1,14.841,26.672,81.34,71.93
201907하순,27.673,31.645,24.191,30.327,3.782,0.555,4.991,9.736,15.408,23.027,81.127,68.509
201908상순,28.94,34.99,24.09,29.66,2.16,4.53,9.06,8.78,22.144,21.692,74.24,72.63
201908중순,28.17,33.37,23.74,26.91,0.51,1.51,7.49,7.64,17.135,19.604,75.28,72.92
201908하순,23.8,28.518,20.227,26.455,5.745,28.355,4.164,3.564,14.061,11.035,85.591,82.718
201909상순,24.59,28.41,21.46,22.29,12.33,4.82,2.32,4.06,9.176,15.305,86.97,78.48
201909중순,22.34,28.08,17.32,22.05,0.14,2.31,7.08,3.6,16.555,11.376,67.16,84.3
201909하순,20.77,25.62,17.27,18.88,11.7,2.64,4.19,4.99,12.271,14.942,85.16,72.53
201910상순,19.08,24.39,14.5,17.17,15.22,15.18,5.37,6.26,10.575,13.1,78.63,75.78
201910중순,16.05,21.85,10.42,12.94,1.21,0.0,6.78,7.88,13.513,15.944,70.21,71.18
201910하순,14.336,21.227,8.173,11.309,0.0,0.318,5.109,7.418,13.935,12.194,67.591,74.045
201911상순,11.09,19.77,4.18,10.58,0.66,2.08,2.562,6.57,12.307,10.977,71.11,77.37
201911중순,8.31,15.88,1.87,8.6,1.54,0.36,5.72,4.8,8.98,9.431,66.42,74.42
201911하순,8.13,15.18,2.62,4.25,0.01,0.01,4.87,5.13,9.241,9.257,67.12,68.97
201912상순,2.42,9.57,-2.86,4.74,2.45,1.77,6.48,3.86,9.644,8.253,64.09,58.64
201912중순,4.62,11.98,-1.67,0.84,0.0,0.4,6.54,4.75,9.108,7.81,56.72,69.0
201912하순,2.1,8.927,-2.982,0.982,0.655,0.318,4.5,6.6,7.678,10.12,61.1,45.336
202001상순,3.21,10.25,-2.5,0.06,4.79,0.0,5.31,6.25,7.805,9.829,64.97,42.23
202001중순,1.35,8.13,-3.93,2.07,0.0,0.28,5.56,6.44,9.864,10.499,54.42,59.2
202001하순,5.982,10.209,1.936,0.827,2.755,0.909,3.064,6.745,7.257,11.994,69.218,46.109
202002상순,1.57,8.63,-4.55,2.93,0.0,0.87,8.49,6.67,13.806,12.254,48.76,48.72
202002중순,6.1,13.07,-0.09,2.5,1.62,2.54,6.7,6.51,12.291,12.53,61.64,50.95
202002하순,7.1,12.422,2.122,6.712,5.044,0.0,5.2,7.6,11.801,14.468,64.5,62.275
202003상순,7.15,13.5,0.81,8.69,1.88,2.2,6.14,6.66,13.943,13.973,62.45,61.84
202003중순,8.13,15.94,0.49,7.7,0.0,1.51,10.22,7.81,20.398,15.668,40.21,55.72
202003하순,11.7,18.9,4.827,10.0,1.573,0.309,7.391,8.864,18.057,19.406,59.827,48.591
202004상순,11.51,19.2,3.87,10.57,0.01,1.81,9.38,8.22,21.9,18.71,42.64,45.68
202004중순,11.65,18.21,6.06,13.12,4.43,0.14,5.93,7.51,16.263,19.465,64.08,55.19
202004하순,12.54,20.48,3.99,14.92,0.0,5.69,11.58,3.86,26.767,13.25,44.73,75.27
202005상순,18.59,24.55,12.99,17.22,3.66,0.02,6.43,10.47,18.959,26.354,70.12,49.78
202005중순,18.19,24.57,12.35,19.97,1.37,2.38,7.33,7.49,20.902,19.643,65.08,62.03
202005하순,19.736,26.691,13.518,20.855,0.0,2.236,7.973,10.018,23.115,25.206,57.618,52.209
202006상순,24.16,32.13,17.39,21.74,0.0,2.18,10.04,8.97,23.956,22.497,54.57,63.44
202006중순,23.54,28.95,19.29,22.03,11.01,1.12,5.52,7.87,18.597,21.438,74.91,66.43
202006하순,23.96,29.46,19.34,22.96,9.46,18.46,6.88,6.36,18.894,19.693,71.89,76.2
202007상순,23.29,27.77,19.9,24.03,4.12,1.16,3.88,6.08,14.989,19.22,77.26,65.97
202007중순,22.39,26.01,19.46,24.36,12.68,14.82,3.32,3.83,13.006,14.841,82.31,81.34
202007하순,23.627,27.3,21.273,27.673,21.418,3.782,2.391,4.991,9.523,15.408,87.845,81.127
202008상순,27.03,30.87,24.18,28.94,17.07,2.16,2.97,9.06,10.203,22.144,82.44,74.24
202008중순,28.65,34.11,24.35,28.17,0.89,0.51,8.93,7.49,22.103,17.135,77.05,75.28
202008하순,27.755,32.464,24.036,23.8,1.6,5.745,6.255,4.164,15.445,14.061,74.4,85.591
202009상순,23.41,27.38,19.73,24.59,21.73,12.33,4.56,2.32,11.76,9.176,78.26,86.97
202009중순,20.84,25.78,17.06,22.34,1.87,0.14,4.79,7.08,12.412,16.555,77.82,67.16
202009하순,18.75,24.58,13.28,20.77,0.0,11.7,7.48,4.19,15.848,12.271,67.71,85.16
202010상순,18.07,23.58,13.37,19.08,0.08,15.22,7.89,5.37,15.977,10.575,62.99,78.63
202010중순,14.23,21.93,7.74,16.05,0.0,1.21,7.45,6.78,14.502,13.513,66.72,70.21
202010하순,11.891,19.982,5.227,14.336,1.164,0.0,7.345,5.109,13.711,13.935,68.364,67.591
202011상순,9.42,16.2,3.1,11.09,0.3,0.66,6.38,2.562,11.551,12.307,56.54,71.11
202011중순,12.01,20.21,4.79,8.31,6.4,1.54,6.22,5.72,9.107,8.98,70.77,66.42
202011하순,6.32,12.16,1.44,8.13,0.1,0.01,5.8,4.87,9.89,9.241,58.65,67.12
202012상순,3.0,10.52,-3.08,2.42,0.0,2.45,6.34,6.48,10.169,9.644,55.12,64.09
202012중순,0.15,5.81,-5.03,4.62,0.0,0.0,7.1,6.54,10.123,9.108,44.14,56.72
202012하순,0.6,7.791,-4.727,2.1,0.464,0.655,6.082,4.5,8.153,7.678,64.864,61.1
202101상순,-3.96,2.24,-9.25,3.21,0.0,4.79,6.66,5.31,10.457,7.805,47.65,64.97
202101중순,0.08,7.98,-6.58,1.35,0.0,0.0,6.35,5.56,10.492,9.864,53.12,54.42
202101하순,4.664,10.327,-0.436,5.982,1.509,2.755,4.936,3.064,8.537,7.257,64.373,69.218
202102상순,2.37,9.84,-4.04,1.57,1.47,0.0,7.73,8.49,13.87,13.806,49.41,48.76
202102중순,3.41,11.15,-3.29,6.1,0.6,1.62,7.39,6.7,13.898,12.291,55.07,61.64
202102하순,7.775,14.875,0.737,7.1,0.3,5.044,5.575,5.2,12.171,11.801,54.338,64.5
202103상순,7.62,13.778,2.344,7.15,5.64,1.88,5.2,6.14,14.253,13.943,67.52,62.45
202103중순,10.72,17.07,4.68,8.13,2.26,0.0,7.19,10.22,15.582,20.398,65.25,40.21
202103하순,11.909,19.418,4.409,11.7,5.027,1.573,8.509,7.391,17.514,18.057,54.7,59.827
202104상순,12.53,19.76,6.03,11.51,4.83,0.01,7.16,9.38,19.197,21.9,58.1,42.64
202104중순,12.82,20.44,5.01,11.65,1.83,4.43,9.1,5.93,21.304,16.263,53.49,64.08
202104하순,16.67,23.5,10.37,12.54,0.01,0.0,7.85,11.58,21.634,26.767,47.36,44.73
202105상순,15.46,22.05,8.28,18.59,3.15,3.66,7.65,6.43,20.099,18.959,55.46,70.12
202105중순,19.42,24.56,15.28,18.19,5.42,1.37,4.21,7.33,15.726,20.902,73.99,65.08
202105하순,19.509,26.791,13.309,19.736,2.018,0.0,7.936,7.973,22.493,23.115,63.327,57.618
202106상순,22.9,29.4,16.86,24.16,1.58,0.0,9.24,10.04,23.164,23.956,64.08,54.57
202106중순,23.0,27.14,19.83,23.54,3.51,11.01,3.77,5.52,18.27,18.597,76.22,74.91
202106하순,23.57,29.65,19.09,23.96,1.8,9.46,6.44,6.88,20.275,18.894,69.38,71.89
202107상순,24.71,28.9,21.66,23.29,28.07,4.12,2.9,3.88,14.479,14.989,80.9,77.26
202107중순,27.19,33.42,23.25,22.39,2.73,12.68,7.5,3.32,20.691,13.006,75.45,82.31
202107하순,28.164,34.882,22.7,23.627,0.018,21.418,8.664,2.391,23.861,9.523,68.727,87.845
202108상순,28.37,34.57,24.18,27.03,2.49,17.07,7.22,2.97,18.789,10.203,72.64,82.44
202108중순,24.97,29.62,21.45,28.65,2.94,0.89,4.72,8.93,16.657,22.103,74.35,77.05
202108하순,25.409,29.873,22.591,27.755,22.545,1.6,3.782,6.255,11.51,15.445,81.7,74.4
202109상순,23.15,27.53,20.17,23.41,1.39,21.73,2.36,4.56,9.771,11.76,77.22,78.26
202109중순,22.87,27.84,18.43,20.84,1.18,1.87,5.96,4.79,15.016,12.412,69.65,77.82
202109하순,22.03,26.87,18.08,18.75,3.52,0.0,4.28,7.48,14.069,15.848,75.04,67.71
202110상순,22.51,29.3,17.84,18.07,0.38,0.08,7.8,7.89,16.371,15.977,77.44,62.99
202110중순,15.14,20.77,10.57,14.23,5.74,0.0,5.28,7.45,10.576,14.502,69.8,66.72
202110하순,12.182,20.391,5.718,11.891,0.0,1.164,7.864,7.345,14.525,13.711,69.945,68.364
202111상순,11.34,19.4,5.36,9.42,2.04,0.3,6.21,6.38,10.648,11.551,69.52,56.54
202111중순,8.24,17.22,1.77,12.01,0.0,6.4,7.57,6.22,10.872,9.107,71.0,70.77
202111하순,6.87,14.37,0.34,6.32,2.9,0.1,5.73,5.8,9.283,9.89,61.48,58.65
202112상순,5.04,12.25,-0.85,3.0,0.0,0.0,5.76,6.34,9.145,10.169,67.29,55.12
202112중순,2.65,9.88,-3.23,0.15,0.3,0.0,6.8,7.1,8.83,10.123,59.54,44.14
202112하순,0.855,7.927,-5.036,0.6,0.0,0.464,7.018,6.082,10.151,8.153,48.736,64.864
202201상순,0.71,9.51,-6.02,-3.96,0.0,0.0,6.65,6.66,10.973,10.457,51.98,47.65
202201중순,-0.8,5.91,-6.54,0.08,0.0,0.0,5.91,6.35,12.126,10.492,38.85,53.12
202201하순,2.8,9.691,-2.809,4.664,0.0,1.509,5.764,4.936,10.916,8.537,46.082,64.373
202202상순,1.16,7.33,-4.93,2.37,0.0,1.47,7.81,7.73,13.031,13.87,38.05,49.41
202202중순,2.25,9.0,-3.68,3.41,0.0,0.6,7.96,7.39,14.941,13.898,40.55,55.07
202202하순,3.038,10.65,-4.8,7.775,0.0,0.3,9.388,5.575,16.716,12.171,32.737,54.338
202203상순,6.98,15.36,-0.96,7.62,0.13,5.64,8.67,5.2,18.602,14.253,43.63,67.52
202203중순,10.71,16.1,5.29,10.72,2.49,2.26,3.45,7.19,10.168,15.582,70.87,65.25
202203하순,10.991,17.918,3.964,11.909,2.955,5.027,7.3,8.509,17.358,17.514,57.673,54.7
202204상순,13.1,21.74,4.4,12.53,0.02,4.83,10.36,7.16,23.751,19.197,49.68,58.1
202204중순,15.55,22.77,9.16,12.82,0.0,1.83,8.25,9.1,20.982,21.304,50.19,53.49
202204하순,16.97,23.14,11.72,16.67,5.94,0.01,5.39,7.85,18.173,21.634,64.35,47.36
202205상순,16.67,24.67,9.43,15.46,0.33,3.15,9.52,7.65,26.915,20.099,52.27,55.46
202205중순,19.48,26.9,12.98,19.42,0.0,5.42,8.311,4.21,22.422,15.726,48.26,73.99
202205하순,23.555,31.464,15.645,19.509,0.0,2.018,11.1,7.936,27.069,22.493,43.627,63.327
202206상순,21.03,27.54,15.54,22.9,4.06,1.58,6.64,9.24,20.274,23.164,61.29,64.08
202206중순,23.22,29.13,18.49,23.0,0.82,3.51,7.26,3.77,21.906,18.27,65.29,76.22
202206하순,26.74,31.2,23.66,23.57,18.4,1.8,5.32,6.44,18.392,20.275,74.0,69.38
202207상순,28.54,34.19,24.07,24.71,0.75,28.07,7.89,2.9,20.968,14.479,68.93,80.9
202207중순,26.7,31.63,22.8,27.19,8.71,2.73,5.24,7.5,18.907,20.691,72.08,75.45
202207하순,27.245,32.2,23.382,28.164,1.655,0.018,4.809,8.664,17.492,23.861,71.545,68.727
202208상순,29.28,33.3,26.34,28.37,3.86,2.49,4.04,7.22,16.77,18.789,72.22,72.64
202208중순,27.43,31.59,24.05,24.97,7.7,2.94,4.06,4.72,15.176,16.657,77.37,74.35
202208하순,23.627,28.309,19.318,25.409,5.545,22.545,5.118,3.782,15.318,11.51,72.491,81.7
202209상순,22.93,27.71,18.57,23.15,10.45,1.39,4.61,2.36,11.6,9.771,73.1,77.22
202209중순,24.32,29.34,20.35,22.87,1.91,1.18,5.67,5.96,12.868,15.016,66.42,69.65
202209하순,19.35,26.18,13.96,22.03,0.0,3.52,6.7,4.28,17.563,14.069,66.79,75.04
202210상순,18.68,23.75,14.43,22.51,2.87,0.38,4.55,7.8,12.834,16.371,67.43,77.44
202210중순,14.17,22.26,7.0,15.14,0.0,5.74,9.46,5.28,17.419,10.576,61.81,69.8
202210하순,13.418,21.018,6.709,12.182,0.0,0.0,7.827,7.864,14.143,14.525,63.973,69.945
202211상순,10.19,19.62,2.75,11.34,0.0,2.04,8.84,6.21,13.704,10.648,57.37,69.52
202211중순,11.78,19.12,5.29,8.24,1.16,0.0,6.2,7.57,10.679,10.872,66.7,71.0
202211하순,10.24,17.55,3.75,6.87,2.63,2.9,4.7,5.73,8.064,9.283,60.61,61.48
202212상순,2.85,9.52,-2.64,5.04,0.0,0.0,6.23,5.76,9.257,9.145,48.29,67.29
202212중순,0.1,6.33,-4.99,2.65,0.16,0.3,6.144,6.8,9.651,8.83,49.34,59.54
202212하순,-1.209,5.427,-6.309,0.855,0.691,0.0,6.964,7.018,9.126,10.151,56.336,48.736
202301상순,1.0,9.46,-5.61,0.71,0.03,0.0,6.97,6.65,10.288,10.973,51.74,51.98
202301중순,3.97,10.16,-1.29,-0.8,3.77,0.0,5.37,5.91,9.243,12.126,64.65,38.85
202301하순,-1.818,5.173,-8.2,2.8,0.0,0.0,6.955,5.764,11.682,10.916,39.727,46.082
202302상순,3.13,11.63,-3.92,1.16,1.94,0.0,7.2,7.81,13.264,13.031,47.88,38.05
202302중순,5.33,9.91,1.12,2.25,0.25,0.0,3.54,7.96,8.889,14.941,63.19,40.55
202302하순,4.788,12.988,-2.825,3.038,0.0,0.0,9.188,9.388,18.492,16.716,44.188,32.737
202303상순,8.99,18.13,0.64,6.98,0.0,0.13,8.31,8.67,17.052,18.602,51.92,43.63
202303중순,10.45,18.5,3.09,10.71,1.48,2.49,7.87,3.45,17.945,10.168,47.88,70.87
202303하순,13.318,20.209,6.973,10.991,2.627,2.955,5.973,7.3,15.883,17.358,56.309,57.673
202304상순,13.82,20.89,6.88,13.1,2.38,0.02,8.63,10.36,19.593,23.751,51.59,49.68
202304중순,15.31,21.96,8.34,15.55,0.76,0.0,5.4,8.25,16.016,20.982,61.26,50.19
202304하순,14.42,20.46,7.66,16.97,2.11,5.94,6.96,5.39,18.32,18.173,57.81,64.35
202305상순,16.23,22.67,10.05,16.67,17.46,0.33,5.85,9.52,17.634,26.915,61.64,52.27
202305중순,19.43,26.48,13.04,19.48,1.09,0.0,8.1,8.311,22.335,22.422,64.14,48.26
202305하순,20.7,26.109,15.782,23.555,8.973,0.0,5.636,11.1,16.984,27.069,63.964,43.627
202306상순,22.25,28.78,16.53,21.03,7.2,4.06,9.08,6.64,23.938,20.274,61.25,61.29
202306중순,23.84,30.98,18.7,23.22,2.61,0.82,8.07,7.26,24.713,21.906,65.29,65.29
202306하순,24.49,28.93,21.08,26.74,18.11,18.4,3.77,5.32,15.413,18.392,76.37,74.0
202307상순,25.91,30.44,22.47,28.54,7.45,0.75,3.86,7.89,17.16,20.968,75.94,68.93
202307중순,26.15,29.56,23.61,26.7,28.28,8.71,1.89,5.24,11.52,18.907,81.67,72.08
202307하순,27.727,33.309,23.691,27.245,5.264,1.655,7.036,4.809,18.203,17.492,74.482,71.545
202308상순,29.08,34.26,24.82,29.28,16.16,3.86,8.17,4.04,20.313,16.77,67.58,72.22
202308중순,27.62,32.55,24.04,27.43,3.69,7.7,6.09,4.06,20.146,15.176,70.65,77.37
202308하순,26.836,31.6,23.527,23.627,16.664,5.545,5.491,5.118,14.861,15.318,77.418,72.491
202309상순,25.289,31.022,21.267,22.93,1.29,10.45,8.378,4.61,20.116,11.6,66.767,73.1
202309중순,24.64,28.55,21.8,24.32,16.78,1.91,3.07,5.67,11.046,12.868,79.39,66.42
202309하순,22.01,26.87,18.52,19.35,2.96,0.0,5.35,6.7,13.483,17.563,71.43,66.79
202310상순,17.66,23.42,12.88,18.68,0.11,2.87,5.6,4.55,14.733,12.834,63.71,67.43
202310중순,15.67,23.32,9.44,14.17,0.81,0.0,8.4,9.46,15.932,17.419,65.43,61.81
202310하순,13.464,21.909,7.164,13.418,0.0,0.0,8.482,7.827,14.0,14.143,68.827,63.973
202311상순,15.34,22.69,8.61,10.19,5.25,0.0,6.32,8.84,11.18,13.704,65.89,57.37
202311중순,5.9,12.77,0.32,11.78,0.92,1.16,6.98,6.2,10.788,10.679,57.71,66.7
202311하순,6.24,13.09,0.29,10.24,0.0,2.63,6.23,4.7,10.464,8.064,50.56,60.61
202312상순,6.16,13.93,-0.97,2.85,0.2,0.0,6.59,6.23,9.217,9.257,59.47,48.29
202312중순,4.99,9.06,1.43,0.1,7.29,0.16,2.9,6.144,4.78,9.651,63.14,49.34
202312하순,0.218,7.182,-5.009,-1.209,0.127,0.691,7.073,6.964,9.166,9.126,59.036,56.336
202401상순,1.9,8.46,-3.15,1.0,0.38,0.03,5.72,6.97,8.656,10.288,60.6,51.74
202401중순,3.91,9.9,-0.99,3.97,2.21,3.77,4.47,5.37,8.197,9.243,61.67,64.65
202401하순,1.045,7.573,-4.2,-1.818,0.109,0.0,7.027,6.955,12.09,11.682,51.236,39.727
202402상순,5.15,9.67,1.33,3.13,1.32,1.94,3.81,7.2,9.064,13.264,62.9,47.88
202402중순,7.54,15.1,1.21,5.33,6.0,0.25,5.29,3.54,10.214,8.889,67.93,63.19
202402하순,5.156,8.444,1.878,4.788,1.1,0.0,2.4,9.188,8.464,18.492,63.578,44.188
202403상순,4.92,10.58,-0.63,8.99,1.19,0.0,6.64,8.31,15.12,17.052,50.01,51.92
202403중순,9.54,16.96,2.74,10.45,0.13,1.48,7.83,7.87,18.38,17.945,45.95,47.88
202403하순,11.009,16.382,5.582,13.318,6.045,2.627,5.073,5.973,13.407,15.883,62.991,56.309
202404상순,14.36,21.01,8.09,13.82,4.46,2.38,5.83,8.63,16.019,19.593,57.56,51.59
202404중순,16.89,24.29,10.19,15.31,2.0,0.76,6.99,5.4,18.691,16.016,61.1,61.26
202404하순,16.89,23.23,12.24,14.42,2.86,2.11,5.11,6.96,16.26,18.32,66.22,57.81
202405상순,16.76,23.76,10.65,16.23,10.52,17.46,7.85,5.85,20.109,17.634,61.74,61.64
202405중순,19.19,27.37,11.36,19.43,1.79,1.09,10.29,8.1,27.305,22.335,54.5,64.14
202405하순,21.4,28.264,15.318,20.7,0.518,8.973,8.218,5.636,24.727,16.984,53.218,63.964
202406상순,21.66,27.95,16.19,22.25,2.98,7.2,7.57,9.08,24.049,23.938,58.74,61.25
202406중순,25.65,32.87,19.36,23.84,0.35,2.61,8.73,8.07,25.03,24.713,57.25,65.29
202406하순,24.53,29.02,20.55,24.49,10.58,18.11,4.74,3.77,16.805,15.413,68.97,76.37
202407상순,27.41,31.41,24.44,25.91,12.91,7.45,4.25,3.86,16.834,17.16,74.23,75.94
